,id,overall_status,study_type,start_date,enrollment,title,date_processed,sponsors
1656,NCT04393415,Recruiting,Interventional,"May 25, 2020",100,the Effect of PRP and Cord Blood in Improving the Symptoms of Covid-19,"April 14, 2021",Aljazeera Hospital
1657,NCT04393428,Completed,Observational,"March 1, 2020",100,Urinary Biomarkers (TIMP-2 and IGFBP7) for Early Diagnostic Assessment of Acute Kidney Injury in Patients With SARS-CoV-2 (COVID-19),"April 14, 2021","University Hospital, Montpellier"
1658,NCT04393558,Recruiting,Observational,"April 20, 2020",100,Wearable Sensor to Monitor COVID-19 Like Signs and Symptoms,"April 14, 2021",Shirley Ryan AbilityLab
1659,NCT04393636,Recruiting,Interventional,"June 5, 2020",394,Randomized Controlled Trial of Digital Cardiac Counseling in Patients With Delayed Cardiac Surgical Treatment Due to Covid-19 Pandemic (DCC Trial),"April 14, 2021",Academisch Ziekenhuis Maastricht
1660,NCT04393649,Recruiting,Observational [Patient Registry],"April 20, 2020",20000,First Level Socio-geriatric Evaluation in Period of Physical and Social Distancing in Frail Older Patients and Older Community Dwellers: ESOGER Databank,"April 14, 2021",Jewish General Hospital
1661,NCT04393727,Terminated,Interventional,"May 1, 2020",1,Transfusion of Convalescent Plasma for the Early Treatment of pneumonIa Due to SARSCoV2: a Multicenter Open Label Randomized Control Trial,"April 14, 2021","Azienda Ospedaliero, Universitaria Pisana"
1662,NCT04393792,Recruiting,Interventional,May 2020,40,Can a Sinus Rinse and Mouth Wash Reduce Viral Load in COVID-19 Positive Individuals and Their Co-residents?,"April 14, 2021",Hampshire Hospitals NHS Foundation Trust
1663,NCT04393805,Completed,Observational,"June 1, 2020",744,Heparins for Thromboprophylaxis in COVID-19 Patients: HETHICO Study in Veneto,"April 14, 2021",Quovadis Associazione
1664,NCT04393818,Completed,Interventional,"May 5, 2020",560,A Double-blinded Randomized Controlled Trial to Examine the Effectiveness of a Mobile-based Intervention to Reduce Mental Health Problems in Healthcare Workers at the Frontline Against COVID-19 in Spain: the PsyCovidApp Trial,"April 14, 2021",Fundació d'investigació Sanitària de les Illes Balears
1665,NCT04393948,Recruiting,Interventional,June 2020,48,Pilot Study of Low-Dose Single or Bilateral Whole Lung Irradiation for SARS-CoV-2 Pneumonia,"April 14, 2021",Brigham and Women's Hospital
1666,NCT04393961,Recruiting,Interventional,"April 5, 2020",600,At-Home COVID-19 Antibody Test Usability Assessment & Behavior Change Study,"April 14, 2021",ProofPilot
1667,NCT04393974,Recruiting,Observational,"March 24, 2020",1000,OnCovid: Natural History and Outcomes of Cancer Patients During the COVID19 Epidemic,"April 14, 2021",Imperial College London
1668,NCT04394000,Completed,Observational [Patient Registry],"May 4, 2020",72,Impact of Implementation of an Intensified Thromboprofylaxis Protocol in in Critically Ill ICU Patients With COVID-19: a Longitudinal Controlled Before-after Study,"April 14, 2021",Jessa Hospital
1669,NCT04394013,Completed,Interventional,"August 26, 2020",70,A Web-Based Gentle Body Stretching to Alleviate Loneliness and Improve Mental Fitness During COVID-19 Isolation Period,"April 14, 2021",Monash University Malaysia
1670,NCT04394026,Recruiting,Observational,"April 16, 2020",500,COVID-19 Imaging Features,"April 14, 2021",Francesco De Cobelli
1671,NCT04394039,Not yet recruiting,Interventional,"June 1, 2020",34,Effects of COVID-19-Related Self-isolation on Psychological Response to Different Outdoor Environments in Singapore - Before & After Brain and Behavior Study,"April 14, 2021","National University, Singapore"
1672,NCT04394078,Completed,Observational,"May 6, 2020",543,Impact of COVID-19 Pandemic on Depression and Quality of Life: Cross Sectional Study on Turkish Society and Suggestions on Potential Solution,"April 14, 2021",Okan University
1673,NCT04394104,Terminated,Observational,"May 27, 2020",593,COVID-19 Health and Wellness Self-Assessment Survey,"April 14, 2021","Rutgers, The State University of New Jersey"
1674,NCT04394117,Recruiting,Interventional,"June 19, 2020",1500,Controlled evaLuation of Angiotensin Receptor Blockers for COVID-19 respIraTorY Disease,"April 14, 2021",The George Institute
1675,NCT04394169,Recruiting,Interventional,"May 25, 2020",102,"Early Care, Therapeutic Education, and Psychological Intervention for the Management of Post-intensive Care Syndrome and Chronic Pain After Coronavirus Disease 2019 Infection. Simple-blind, Controlled, Randomized Trial.","April 14, 2021",Hospital Clinic of Barcelona
1676,NCT04394182,Recruiting,Interventional,"April 21, 2020",15,Low Doses of Lung Radiation Therapy in Cases of COVID-19 Pneumonia: Prospective Multicentric Study in Radiation Oncology Centers,"April 14, 2021",Fundacion GenesisCare
1677,NCT04394195,Completed,Observational,"April 3, 2020",72,sFlt1: a Biomarker of Organ Dysfunction in Critically-ill Patients With COVID-19?,"April 14, 2021",CHU de Reims
1678,NCT04394208,Recruiting,Interventional,"August 16, 2020",50,Trial of Silymarin in Adults With COVID-19 Pneumonia,"April 14, 2021",Cairo University
1679,NCT04394377,"Active, not recruiting",Interventional,"June 21, 2020",615,Randomized Clinical Trial to Evaluate a Routine Full Anticoagulation Strategy in Patients With Coronavirus (COVID-19) - COALIZAO ACTION Trial,"April 14, 2021",Brazilian Clinical Research Institute
1680,NCT04394390,Enrolling by invitation,Observational [Patient Registry],"May 1, 2020",100,Do Vitamin D Levels Really Correlated With Disease Severity in COVID-19 Patients?,"April 14, 2021",Bursa City Hospital
1681,NCT04394403,Recruiting,Interventional,"May 14, 2020",120,Pilot Internet-based Self-Help Program for Managing Corona Stress vs. Waitlist Control,"April 14, 2021",Hebrew University of Jerusalem
1682,NCT04394416,Recruiting,Interventional,"June 2, 2020",204,Randomized Double-Blind Placebo-Controlled Trial on the Safety and Efficacy of Imatinib for Hospitalized Adults With COVID-19,"April 14, 2021","University of Maryland, Baltimore"
1683,NCT04394429,Recruiting,Observational,"April 24, 2020",184,Analysis of Events of Endotracheal Tube Obstruction in Covid-19 Patients Requiring Mechanical Ventilation,"April 14, 2021","University Hospital, Strasbourg, France"
1684,NCT04394442,Recruiting,Interventional,"March 21, 2020",200,Use of Hydroxychloroquine in Patients With COVID-19: A Randomized Controlled Clinical Trial,"April 14, 2021",Samah Lutfy
1685,NCT04394455,Enrolling by invitation,Interventional,"June 30, 2020",236,Effect of Brief Cognitive Behavioral Therapy Versus Crisis Intervention Therapy Through Telepsychiatry in Medical Staff During the COVID-19 Pandemic: A Multicentric Randomized Controlled Trial,"April 14, 2021",Universidad Nacional Autonoma de Honduras
1686,NCT04394793,"Active, not recruiting",Interventional,"June 13, 2020",10,Low Dose Radiation Therapy for Covid-19 Pneumonia: A Pilot Study,"April 14, 2021","All India Institute of Medical Sciences, New Delhi"
1687,NCT04394884,Suspended,Observational,"September 9, 2021",120,Pathogenesis of BTK-mediated Hyper-Inflammatory Responses in COVID-19,"April 14, 2021",National Institute of Allergy and Infectious Diseases (NIAID)
1688,NCT04395105,Recruiting,Interventional,"May 21, 2020",284,High Versus Low Dose Dexamethasone for the Treatment of COVID-19 Related ARDS: a Multicenter and Randomized Open-label Clinical Trial,"April 14, 2021",Centro de Educación Medica e Investigaciones Clínicas Norberto Quirno
1689,NCT04395144,Completed,Interventional,"May 15, 2020",13,Randomized-controlled Trial of HFNC Alone vs HFNC and Awake Self-proning for Treatment of Severe COVID-19,"April 14, 2021",Hôpital de Verdun
1690,NCT04395170,Not yet recruiting,Interventional,September 2020,75,"A Randomized, Multicenter Clinical Trial to Evaluate the Efficacy and Safety of the Use of Convalescent Plasma (PC) and Human Intravenous Anti COVID-19 Immunoglobulin (IV Anti COVID-19 IgG) in Patients Hospitalized for COVID-19.","April 14, 2021","Lifefactors Zona Franca, SAS"
1691,NCT04395300,Completed,Observational,"March 30, 2020",143,Sleep Quality and Effect on General Health in Healthcare Personnel During COVID-19 Pandemic,"April 14, 2021",Assiut University
1692,NCT04395391,Completed,Observational,"May 18, 2020",30,Usability Study of Home Collection and Mailing With SARS-CoV-2 Test Specimen Collection Materials (2020-06),"April 14, 2021",Exact Sciences Corporation
1693,NCT04395430,Recruiting,Interventional,"September 18, 2020",40,Adapting the US-based Clinic-community Model of Child Obesity Treatment Into an Online Intervention Model in Singapore During COVID-19,"April 14, 2021",KK Women's and Children's Hospital
1694,NCT04395456,Not yet recruiting,Interventional,September 2021,144,"A Phase 2 Clinical Trial to Assess the Safety and Efficacy of Complement 3 Inhibitor, AMY-101, in Patients With Acute Respiratory Distress Syndrome Due to COVID-19 (SAVE)","April 14, 2021",Amyndas Pharmaceuticals S.A.
1695,NCT04395482,Recruiting,Observational,"May 7, 2020",500,Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury by Machine Learning: a Multicenter Retrospective Cohort Study.,"April 14, 2021",University of Milano Bicocca
1696,NCT04395508,Available,Expanded Access,,,"An Expanded Access, Single-Arm, Multicenter Study to Provide at Home Subcutaneous Administration of Pertuzumab and Trastuzumab Fixed-Dose Combination (PH FDC SC) for Patients With HER2-Positive Breast Cancer During the COVID-19 Pandemic","April 14, 2021","Genentech, Inc."
1697,NCT04395599,Not yet recruiting,Interventional,May 2020,40,Assessment of Air Contamination Risk by Sars-Cov2 During Visceral Surgery in COVID19 Patients: Pilot Study.,"April 14, 2021","University Hospital, Lille"
1698,NCT04395664,Completed,Observational,"April 16, 2020",1000,The ACOVID-19 Study - A Prospective Cohort Study Investigating the Acute Effect of COVID-19 on the Heart by Continuous ECG Monitoring,"April 14, 2021",Herlev and Gentofte Hospital
1699,NCT04395716,Withdrawn,Interventional,January 2020,0,A Phase I Study of ResCure™ to Treat COVID-19 Infection,"April 14, 2021",ProgenaBiome
1700,NCT04395742,Not yet recruiting,Observational,May 2020,93,"1,3,7-Trimethylxanthine as a Treatment of COVID-19: Results of a Controlled Study","April 14, 2021",Poitiers University Hospital
1701,NCT04395755,Completed,Observational,"April 1, 2020",503,Impact of COVID-19 Pandemic on the Psychological Status of Infertile Patients Who Had in Vitro Fertilization Treatment Interrupted or Postponed,"April 14, 2021",Ospedale Policlinico San Martino
1702,NCT04395768,Recruiting,Interventional,"September 9, 2020",200,"Therapies to Prevent Progression of COVID-19, Including Hydroxychloroquine, Azithromycin, Zinc, Vitamin D, Vitamin B12 With or Without Vitamin C, a Multi-centre, International, Randomized Trial: The International ALLIANCE Study","April 14, 2021","National Institute of Integrative Medicine, Australia"
1703,NCT04395781,Recruiting,Observational [Patient Registry],"May 18, 2020",2000,Pediatric Acute and Critical Care COVID-19 Registry of Asia,"April 14, 2021",KK Women's and Children's Hospital
1704,NCT04395794,Recruiting,Observational [Patient Registry],"May 7, 2020",900,SARS-CoV-2 Positive Carriers Among Asymptomatic meDIcal employeeS in hiGh-volUme cardIovaScular cEnter,"April 14, 2021",Meshalkin Research Institute of Pathology of Circulation
1705,NCT04395807,Recruiting,Interventional,"June 3, 2020",120,Helmet Continuous Positive Airway Pressure Versus High-Flow Nasal Cannula in COVID-19: A Pragmatic Randomised Clinical Trial,"April 14, 2021",Lund University
1706,NCT04395833,Completed,Observational,"April 7, 2020",2500,Emerging Health Challenges for Children With Motor Disabilities and Their Parents Facing the COVID-19 Pandemic: Messages From Families Answering the ECHO French National Survey,"April 14, 2021","University Hospital, Brest"
1707,NCT04395859,Recruiting,Observational,"May 27, 2020",1500,Collateral Damage From the COVID-19 Pandemic Observed in Patients Treated With Intravitreal Injections (IVT) of Anti-angiogenic Agents,"April 14, 2021",Fondation Ophtalmologique Adolphe de Rothschild
1708,NCT04395872,Not yet recruiting,Observational,"May 28, 2020",54,Psychiatric Consultation for COVID-19 Patients,"April 14, 2021",Daegu Catholic University Medical Center
1709,NCT04395885,Completed,Observational,"June 1, 2020",306,Sexual Function Among Egyptian Healthcare Professionals During COVID 19 Pandemic,"April 14, 2021",Assiut University
1710,NCT04395911,Recruiting,Interventional,"September 10, 2020",30,A Multi-Center Pilot Study to Assess the Safety and Efficacy of a Selective Cytopheretic Device (SCD) in Patients Developing Acute Kidney Injury (AKI) or Acute Respiratory Distress Syndrome (ARDS) Associated With COVID-19 Infection,"April 14, 2021",SeaStar Medical
1711,NCT04395924,Recruiting,Observational,"May 5, 2020",50,Maternal-Foetal Transmission of COVID-19,"April 14, 2021",Centre Hospitalier Régional d'Orléans
1712,NCT04395976,Withdrawn,Interventional,"May 10, 2020",0,Effect of Ayurveda as Prophylaxis for Suspected Covid-19 Patients: Randomised Controlled Trial,"April 14, 2021",British Ayurvedic Medical Council
1713,NCT04396067,Not yet recruiting,Interventional,October 2020,360,Aerosol Combination Therapy of All-trans Retinoic Acid and Isotretinoin as A Novel Treatment for Inducing Neutralizing Antibodies in COVID -19 Infected Patients Better Than Vaccine : An Innovative Treatment,"April 14, 2021",Kafrelsheikh University
1714,NCT04396106,Recruiting,Interventional,"May 26, 2020",190,"A Phase 2 Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of AT-527 in Subjects With Moderate COVID-19","April 14, 2021","Atea Pharmaceuticals, Inc."
1715,NCT04396197,Completed,Observational,"March 1, 2020",92,Physical Activity Levels in COVID-19 Patients Admitted to Intensive Care Requiring Invasive Ventilation: An Observational Study,"April 14, 2021",University Hospital Birmingham NHS Foundation Trust
1716,NCT04396210,Completed,Observational,"May 14, 2020",389,Patients Perspectives on Discontinuation of Their Fertility Treatment Due to the COVID-19 Pandemic,"April 14, 2021","University Hospital, Ghent"
1717,NCT04396314,Not yet recruiting,Interventional,"September 1, 2021",54,"Effectiveness of Basic Body Awareness Therapy in Survivors of Covid-19, Health Workers and Women Suffering From Gender-based Violence Regarding Post-traumatic Stress Disorders: A Randomized Clinical Trial","April 14, 2021",Universitat de Lleida
1718,NCT04396353,Completed,Observational,"June 4, 2020",1574,"The Impact of EXercise TRAining, Physical Activity and Sedentary Lifestyle on Clinical Outcomes in Surviving Patients Infected With the Severe Acute Respiratory Syndrome Coronavirus 2: Cross-sectional Study","April 14, 2021",University of Sao Paulo General Hospital
1719,NCT04396600,Enrolling by invitation,Observational,"June 8, 2020",1200,The Professional Peer Resilience Initiative: Leveraging a Data-Driven Model to Maximize the Resilience of Healthcare Workers During the COVID-19 Pandemic,"April 14, 2021",University of Minnesota
1720,NCT04397172,Recruiting,Observational,"April 9, 2020",50,"Characterization of ARDS, Critical Illness Myopathy and Their Long-term Consequences in Patients With Covid-19 Disease: Effects of Inflammation, Mitochondrial Dysfunction and Plasma Concentrations of Various Sedative Drugs","April 14, 2021","University Hospital Inselspital, Berne"
1721,NCT04397237,"Active, not recruiting",Observational,"June 10, 2020",3100,"Prevalence, Seroconversion and Impact of COVID-19 in Autoimmune Diseases in Europe","April 14, 2021",Pitié-Salpêtrière Hospital
1722,NCT04397328,Not yet recruiting,Interventional,"May 19, 2020",336,Safety and Efficacy of Post-exposure Prophylaxis With Hydroxychloroquine (HCQ) for the Prevention of COVID-19 in High-risk Older Individuals in Long-term and Specialized Care: A Double-blind Randomized Control Trial,"April 14, 2021",Lawson Health Research Institute
1723,NCT04397380,Not yet recruiting,Observational,"May 20, 2020",100,COVID-19 Response - Thermography Based Fever Detection for Triaging of Patients - A Feasibility Study,"April 14, 2021",NHS Greater Clyde and Glasgow
1724,NCT04397471,Not yet recruiting,Observational,May 2020,10,A Study to Collect Bone Marrow for Process Development and Production of Bone Marrow Mesenchymal Stromal Cells to Treat Severe COVID19 Pneumonitis,"April 14, 2021",CCTU- Cancer Theme
1725,NCT04397497,Not yet recruiting,Interventional,"May 22, 2020",50,"A Randomized, Double Blind, Placebo-controlled Trial of Mavrilimumab for Acute Respiratory Failure Due to COVID-19 Pneumonia With Hyper-inflammation (the COMBAT-19 Trial)","April 14, 2021",Ospedale San Raffaele
1726,NCT04397510,Enrolling by invitation,Interventional,"June 1, 2020",50,Nebulized Heparin vs. Placebo for the Treatment of COVID-19 Induced Lung Injury,"April 14, 2021",Frederick Health
1727,NCT04397523,Recruiting,Interventional,"April 30, 2020",200,Use of COVID-19 Convalescent Plasma in the Patients Infected With COVID-19 (SARS-CoV-2) - Efficacy and Safety,"April 14, 2021",Institute for Transfusion Medicine of RNM
1728,NCT04397562,Completed,Interventional,"April 29, 2020",206,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Adaptively Designed Clinical Trial of the Efficacy and Safety of Levilimab (BCD-089) in Patients With Severe COVID-19","April 14, 2021",Biocad
1729,NCT04397575,"Active, not recruiting",Observational [Patient Registry],"April 3, 2020",1509,Cohorte Non Interventionnelle Ambispective Nationale Multicentrique de Patients Suivis Pour Cancer et infectés Par le SARS-CoV-2,"April 14, 2021",Federation Francophone de Cancerologie Digestive
1730,NCT04397588,Recruiting,Observational,"April 21, 2020",300,Extracorporeal Membrane Oxygenation (ECMO) as a Therapeutic Option in Severe Form of COVID-19: a Nationwide Cohort Study,"April 14, 2021",Rennes University Hospital
1731,NCT04397614,Recruiting,Interventional,"July 22, 2020",500,Mobile Health Study and Enhanced Symptom Monitoring to Prevent Severe Illness From COVID-19 in Cancer Patients,"April 14, 2021",University of Oklahoma
1732,NCT04397666,Recruiting,Interventional,"May 15, 2020",68,RT-PCR on Conjunctival Sample for the Detection of SARS-Cov-2 in Patients With Covid-19,"April 14, 2021",Versailles Hospital
1733,NCT04397692,Recruiting,Interventional,"June 13, 2020",20,Inhaled NO for the Treatment of COVID-19 Caused by SARS-CoV-2 (US Trial),"April 14, 2021",Beyond Air Inc.
1734,NCT04397705,Recruiting,Interventional,"October 12, 2020",30,Remote Monitoring of Cancer Patients Presenting With Symptoms Suggestive of Covid-19 - Pilot Phase.,"April 14, 2021",The Christie NHS Foundation Trust
1735,NCT04397718,Recruiting,Interventional,"July 6, 2020",198,"Hormonal Intervention for the Treatment in Veterans With COVID-19 Requiring Hospitalization (HITCH): A Multicenter, Phase 2 Randomized Controlled Trial of Best Supportive Care (BSC) vs BSC Plus Degarelix","April 14, 2021",VA Office of Research and Development
1736,NCT04397757,"Active, not recruiting",Interventional,"May 13, 2020",80,"An Open-Label, Controlled, Phase 1, Safety and Exploratory Efficacy Study of Convalescent Plasma for Severely Ill, Hospitalized Participants With COVID-19 Pneumonia Caused by SARS-CoV-2.","April 14, 2021",University of Pennsylvania
1737,NCT04397796,Recruiting,Interventional,"August 3, 2020",45,"Phase 1b Randomized, Double-Blind, Placebo-Controlled Study Of The Safety Of Therapeutic Treatment With Immunomodulatory Mesenchymal Stem Cells In Adults With COVID-19 Infection Requiring Mechanical Ventilation","April 14, 2021","ImmunityBio, Inc."
1738,NCT04397822,Recruiting,Observational,"April 16, 2020",110,Study of INFLAmmasome NLRP3 and PLAtelets Functions During Severe COVID-19 Infection,"April 14, 2021","University Hospital, Toulouse"
1739,NCT04397835,Recruiting,Observational,"April 17, 2020",800,Psychological Impact of Quarantine During the COVID-19 Outbreak and Worsening of Cardiovascular Risk in the French General Population: a Prospective Cohort Study,"April 14, 2021","University Hospital, Toulouse"
1740,NCT04397848,Completed,Observational,"May 14, 2020",3852,Hearing and Supporting the Healthcare Workers: Mental Health Outcomes in Healthcare Workers During COVID-19,"April 14, 2021","University Health Network, Toronto"
1741,NCT04397900,Completed,Observational,"April 9, 2020",80,A Blood Collection Study From Volunteers Who Have Recovered From COVID-19 Infection to Identify Immunogenic Viral Epitopes in SARS-CoV-2,"April 14, 2021","TScan Therapeutics, Inc."
1742,NCT04397939,Recruiting,Observational,"May 8, 2020",5000,Association of Early Myocardial Injury With Major Adverse Outcomes in Patients With COVID-19,"April 14, 2021",Icahn School of Medicine at Mount Sinai
1743,NCT04398004,Completed,Interventional,"May 6, 2020",90,Anti-inflammatory Clarithromycin to Improve SARS-CoV-2 (COVID-19) Infection Early: The ACHIEVE Open-label Non-randomized Clinical Trial,"April 14, 2021",Hellenic Institute for the Study of Sepsis
1744,NCT04398043,Not yet recruiting,Observational,"May 15, 2020",16,Searching for SARS-CoV 2 in Personal Protective Equipment in Physicians in a University Hospital,"April 14, 2021",Hospital de Clinicas José de San Martín
1745,NCT04398147,Not yet recruiting,Interventional,"August 1, 2020",696,"A Randomized, Observer-Blind, Dose-escalation Phase I/II Clinical Trial of Ad5-nCoV Vaccine in Healthy Adults From 18 to <85 Years of Age in Canada","April 14, 2021",CanSino Biologics Inc.
1746,NCT04398264,Recruiting,Observational [Patient Registry],"July 22, 2020",100,Characteristics of COVID-19 Infection Among PREGnant Women,"April 14, 2021",Inova Health System
1747,NCT04398277,Recruiting,Interventional,"May 1, 2020",1000,A Daily Coping Toolkit for Medical Personnel and First-Responders During the COVID-19 Pandemic,"April 14, 2021",Kent State University
1748,NCT04398290,Withdrawn,Interventional,"December 1, 2020",0,Randomized Controlled Trial Of A Delivered Continuously By Nasal Cannula For The Treatment Of Patients With COVID-19 And Mild To Moderate Hypoxemia Requiring Supplemental Oxygen,"April 14, 2021",Roger Alvarez
1749,NCT04398303,Not yet recruiting,Interventional,May 2020,70,"A Phase 1/2 Randomized, Placebo-Controlled Trial of ACT-20 in Patients With Severe COVID-19 Pneumonia","April 14, 2021",Aspire Health Science
1750,NCT04398472,Not yet recruiting,Interventional,"July 7, 2020",9000,Evaluation of the Nextdoor KIND Challenge,"April 14, 2021",Swinburne University of Technology
1751,NCT04399005,Completed,Interventional,"May 25, 2020",240,The Efficacy Comparing Daily and After-each-case Room Disinfection in the Endoscopy Unit During the COVID-19 Pandemic.,"April 14, 2021",The First Affiliated Hospital of Zhejiang Chinese Medical University
1752,NCT04399109,Recruiting,Interventional,"May 20, 2020",2000,ReCOVER (Remote COVID-19 Evaluation and Response): a Prospective Non-randomised Controlled Trial to Evaluate the Effect of a Novel Smartphone Application-centric Model of Care for the Remote Monitoring of COVID-19 Patients in the Community.,"April 14, 2021",Dr Sze-Yuan Ooi
1753,NCT04399252,Recruiting,Interventional,"June 24, 2020",1132,A Randomized Trial of the Effect of Lactobacillus on the Microbiome of Household Contacts Exposed to COVID-19,"April 14, 2021",Duke University
1754,NCT04399317,Recruiting,Interventional,"May 28, 2020",20,Flow Controlled Ventilation in ARDS Associated With COVID-19,"April 14, 2021",Hamad Medical Corporation
1755,NCT04399356,Recruiting,Interventional,"October 1, 2020",100,Niclosamide for Patients With Mild to Moderate Disease From Novel Coronavirus (COVID-19),"April 14, 2021",Tufts Medical Center
1756,NCT04399603,Recruiting,Observational,"June 1, 2020",120,Multi-organ Failure in SARS-CoV2: Identifying Mechanisms and Potential Therapeutic Targets,"April 14, 2021",Imperial College London
1757,NCT04399681,Recruiting,Interventional,"May 10, 2020",100,The Utility of Bedside Lung Ultrasonography on Diagnosis of COVID-19 at Emergency Department,"April 14, 2021",Kanuni Sultan Suleyman Training and Research Hospital
1758,NCT04399733,Not yet recruiting,Observational,"February 1, 2021",12800,EMPOWER - BAME vs COVID: A Multi-site Clinical Cohort Research Study to Identify Genetic Associations and Candidate Therapeutic Targets to Reduce COVID-19 Morbidity & Mortality Rates in BAME Populations,"April 14, 2021",Future Genetics Limited
1759,NCT04399746,Recruiting,Interventional,"March 15, 2020",30,A Pilot Study for COVID-19 Outpatient Treatment With the Combination of Ivermectin-azithromycin-cholecalciferol,"April 14, 2021",Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado
1760,NCT04399798,Not yet recruiting,Interventional,"May 15, 2020",13,"A proof-of Concept Study of the Use of Janus Kinase 1 and 2 Inhibitor, Baricitinib, in the Treatment of COVID-19-related Pneumonia","April 14, 2021",IRCCS Policlinico S. Matteo
1761,NCT04399889,Recruiting,Interventional,"June 18, 2020",30,Pilot Study of Safety and Efficacy of Cord Tissue Derived Mesenchymal Stromal Cells (hCT-MSC) in COVID-19 Related Acute Respiratory Distress Syndrome (ARDS),"April 14, 2021","Joanne Kurtzberg, MD"
1762,NCT04399967,Recruiting,Interventional,"June 13, 2020",842,"Building Capacity and Promoting Smoking Cessation in the Community Via ""Quit to Win"" Contest 2020: a Single-blind Randomized Controlled Trial on COVID-19 Related Brief Advice and Personalized Chat-based Intervention for Smoking Cessation","April 14, 2021",The University of Hong Kong
1763,NCT04399980,"Active, not recruiting",Interventional,"May 20, 2020",30,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in Patients With Severe COVID-19 Pneumonia and Systemic Hyper-inflammation,"April 14, 2021",The Cleveland Clinic
1764,NCT04400006,Completed,Observational,"May 6, 2020",71,The Effectiveness of Ozone Therapy in the Prevention of COVID-19 Infection,"April 14, 2021",Marmara University
1765,NCT04400019,Not yet recruiting,Interventional,September 2020,1930,"Prevention of COVID19 Infection by the Administration of Hydroxychloroquine to Institutionalized Older People and Nursing Home Staff. Controlled Clinical Trial, Randomized Triple Blind by Clusters (PREVICHARM Study)","April 14, 2021",University of Malaga
1766,NCT04400032,Recruiting,Interventional,"May 15, 2020",21,Cellular Immuno-Therapy for COVID-19 ARDS (CIRCA-19),"April 14, 2021",Ottawa Hospital Research Institute
1767,NCT04400058,Completed,Interventional,"June 1, 2020",208,Efficacy and Safety of Octagam 10% Therapy in COVID-19 Patients With Severe Disease Progression,"April 14, 2021",Octapharma
1768,NCT04400279,Completed,Interventional,"June 1, 2020",334,COvid-19 Pandemic and Exercise (COPE) Trial: A Randomized Study Examining Physical Activities and Wellbeing in Individuals Mandated to Stay at Home,"April 14, 2021",University of British Columbia
1769,NCT04400305,Recruiting,Interventional,"May 20, 2020",40,"""Increasing Physical Activity in Canadian Adults Who Have Been Affected by COVID-19 Social Distancing Restrictions: A Feasibility Trial of an Online Intervention""","April 14, 2021",University of Victoria
1770,NCT04400448,Not yet recruiting,Observational [Patient Registry],"June 1, 2020",200,"Acceptance of Telemedicine in Outpatient Clinic Consultations During COVID-19 Pandemic. An International, Cross-sectional Study","April 14, 2021",Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana
1771,NCT04400461,Completed,Observational,"May 15, 2020",71,Short-term Physical Function Outcomes in Severe COVID-19 Patients Admitted to ICU for Invasive Mechanical Ventilation: an Observational Cohort Study,"April 14, 2021",Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal
1772,NCT04400682,Completed,Interventional,"May 28, 2020",30,"Open-label, Randomised, Single Oral Dose, Two-period, Cross-over Trial to Assess to Bioequivalence of Favira 200 mg FT in Comparison With Avigan 200 mg FT in Healthy Male Subjects Under Fasting Conditions","April 14, 2021",Novelfarma Ilaç San. ve Tic. Ltd. Sti.
1773,NCT04400734,Recruiting,Observational,"May 7, 2020",60,Esophagogastroduodenoscopy (EGD) is an Aerosol-generating Procedure: Proof of Concept Study,"April 14, 2021",Chinese University of Hong Kong
1774,NCT04400799,Recruiting,Interventional,"June 15, 2020",1000,Enoxaparin for Primary Thromboprophylaxis in Ambulatory Patients With Coronavirus: The Multicenter Randomized Controlled Ovid Trial,"April 14, 2021",University of Zurich
1775,NCT04400812,Enrolling by invitation,Observational,"May 19, 2020",5000,Attitude and Perception of General Population in Sharkia Governerate Towards COVID-19 Pandemic,"April 14, 2021",Zagazig University
1776,NCT04400838,Recruiting,Interventional,"May 28, 2020",12390,"A Phase 2/3 Study to Determine the Efficacy, Safety and Immunogenicity of the Candidate Coronavirus Disease (COVID-19) Vaccine ChAdOx1 nCoV-19","April 14, 2021",University of Oxford
1777,NCT04400877,Completed,Observational,"June 8, 2020",7795,Prevalence and Severity of Venous Thromboembolism in a General Population During the COVID-19 Pandemic,"April 14, 2021","University Hospital, Linkoeping"
1778,NCT04400890,"Active, not recruiting",Interventional,"September 12, 2020",100,"Randomized Double-Blind Placebo-Controlled Proof-of-Concept Trial of Resveratrol, a Plant Polyphenol, for the Outpatient Treatment of Mild Coronavirus Disease (COVID-19)","April 14, 2021","Marvin McCreary, MD"
1779,NCT04400929,Recruiting,Interventional,"June 2, 2020",30,Using GM-CSF as a Host Directed Therapeutic Against COVID-19 - a Phase 2 Investigator Initiated Trial,"April 14, 2021",Singapore General Hospital
